m6i.2xlarge,32 GiB,8,EBS only,Up to 12500 Megabit,0.384,280.32,NA
m5a.8xlarge,128 GiB,32,EBS only,Up to 10 Gigabit,1.376,1004.4799999999999,NA
m5dn.24xlarge,384 GiB,96,4 x 900 NVMe SSD,100 Gigabit,6.528,4765.44,NA
m5d.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 10 Gigabit,0.904,659.9200000000001,NA
m6g.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.077,56.21,NA
m6gd.xlarge,16 GiB,4,1 x 237 NVMe SSD,Up to 10 Gigabit,0.1808,131.98399999999998,NA
m5ad.8xlarge,128 GiB,32,2 x 600 NVMe SSD,Up to 10 Gigabit,1.648,1203.04,NA
m5d.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 10 Gigabit,0.226,164.98000000000002,NA
m5.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.192,140.16,NA
m6gd.12xlarge,192 GiB,48,2 x 1425 NVMe SSD,20 Gigabit,2.1696,1583.808,NA
m6id.32xlarge,512 GiB,128,4 x 1900 SSD,50000 Megabit,7.5936,5543.328,NA
m5d.large,8 GiB,2,1 x 75 NVMe SSD,Up to 10 Gigabit,0.113,82.49000000000001,NA
m5n.metal,384 GiB,96,EBS only,100 Gigabit,5.712,4169.76,NA
m6g.4xlarge,64 GiB,16,EBS only,Up to 10 Gigabit,0.616,449.68,NA
m6i.large,8 GiB,2,EBS only,Up to 12500 Megabit,0.096,70.08,NA
m5n.large,8 GiB,2,EBS only,Up to 25 Gigabit,0.119,86.86999999999999,NA
m5zn.12xlarge,192 GiB,48,EBS only,100 Gigabit,3.9641,2893.793,NA
m6id.4xlarge,64 GiB,16,1 x 950 SSD,Up to 12500 Megabit,0.9492,692.916,NA
m5a.24xlarge,384 GiB,96,EBS only,20 Gigabit,4.128,3013.44,NA
m5.16xlarge,256 GiB,64,EBS only,20 Gigabit,3.072,2242.56,NA
m5dn.metal,384 GiB,96,4 x 900 NVMe SSD,100 Gigabit,6.528,4765.44,NA
m6id.large,8 GiB,2,1 x 118 SSD,Up to 12500 Megabit,0.11865,86.6145,NA
m6g.medium,4 GiB,1,EBS only,Up to 10 Gigabit,0.0385,28.105,NA
m6i.xlarge,16 GiB,4,EBS only,Up to 12500 Megabit,0.192,140.16,NA
m5ad.24xlarge,384 GiB,96,4 x 900 NVMe SSD,20 Gigabit,4.944,3609.12,NA
m5d.24xlarge,384 GiB,96,4 x 900 NVMe SSD,25 Gigabit,5.424,3959.5200000000004,NA
m5.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.096,70.08,NA
m5a.4xlarge,64 GiB,16,EBS only,Up to 10 Gigabit,0.688,502.23999999999995,NA
m5a.12xlarge,192 GiB,48,EBS only,10 Gigabit,2.064,1506.72,NA
m5a.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.086,62.779999999999994,NA
m6id.metal,512 GiB,128,4 x 1900 SSD,50000 Megabit,7.5936,5543.328,NA
m5.4xlarge,64 GiB,16,EBS only,Up to 10 Gigabit,0.768,560.64,NA
m6a.xlarge,16 GiB,4,EBS only,Up to 12500 Megabit,0.1728,126.144,NA
m5zn.metal,192 GiB,48,EBS only,100 Gigabit,3.9641,2893.793,NA
m5dn.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 25 Gigabit,1.088,794.24,NA
m5d.12xlarge,192 GiB,48,2 x 900 NVMe SSD,10 Gigabit,2.712,1979.7600000000002,NA
m6a.32xlarge,512 GiB,128,EBS only,50000 Megabit,5.5296,4036.608,NA
m6g.8xlarge,128 GiB,32,EBS only,10 Gigabit,1.232,899.36,NA
m5zn.6xlarge,96 GiB,24,EBS only,50 Gigabit,1.982,1446.86,NA
m5n.2xlarge,32 GiB,8,EBS only,Up to 25 Gigabit,0.476,347.47999999999996,NA
m5zn.large,8 GiB,2,EBS only,Up to 25 Gigabit,0.1652,120.596,NA
m5ad.16xlarge,256 GiB,64,4 x 600 NVMe SSD,12 Gigabit,3.296,2406.08,NA
m5n.16xlarge,256 GiB,64,EBS only,75 Gigabit,3.808,2779.8399999999997,NA
m5zn.2xlarge,32 GiB,8,EBS only,Up to 25 Gigabit,0.6607,482.311,NA
m5dn.8xlarge,128 GiB,32,2 x 600 NVMe SSD,25 Gigabit,2.176,1588.48,NA
m5ad.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 10 Gigabit,0.824,601.52,NA
m6a.16xlarge,256 GiB,64,EBS only,25000 Megabit,2.7648,2018.304,NA
m5d.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 10 Gigabit,0.452,329.96000000000004,NA
m6i.24xlarge,384 GiB,96,EBS only,37500 Megabit,4.608,3363.8399999999997,NA
m6g.metal,256 GiB,64,EBS only,25 Gigabit,2.464,1798.72,NA
m6i.12xlarge,192 GiB,48,EBS only,18750 Megabit,2.304,1681.9199999999998,NA
m5ad.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 10 Gigabit,0.206,150.38,NA
m5.24xlarge,384 GiB,96,EBS only,25 Gigabit,4.608,3363.8399999999997,NA
m5.metal,384 GiB,96,EBS only,25 Gigabit,4.608,3363.8399999999997,NA
m5n.12xlarge,192 GiB,48,EBS only,50 Gigabit,2.856,2084.88,NA
m6a.8xlarge,128 GiB,32,EBS only,12500 Megabit,1.3824,1009.152,NA
m6g.16xlarge,256 GiB,64,EBS only,25 Gigabit,2.464,1798.72,NA
m5n.24xlarge,384 GiB,96,EBS only,100 Gigabit,5.712,4169.76,NA
m6i.8xlarge,128 GiB,32,EBS only,12500 Megabit,1.536,1121.28,NA
m6gd.8xlarge,128 GiB,32,1 x 1900 NVMe SSD,10 Gigabit,1.4464,1055.8719999999998,NA
m5.12xlarge,192 GiB,48,EBS only,10 Gigabit,2.304,1681.9199999999998,NA
m6gd.16xlarge,256 GiB,64,2 x 1900 NVMe SSD,25 Gigabit,2.8928,2111.7439999999997,NA
m5zn.3xlarge,48 GiB,12,EBS only,Up to 25 Gigabit,0.991,723.43,NA
m6i.16xlarge,256 GiB,64,EBS only,25000 Megabit,3.072,2242.56,NA
m6id.12xlarge,192 GiB,48,2 x 1425 SSD,18750 Megabit,2.8476,2078.748,NA
m5dn.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 25 Gigabit,0.272,198.56,NA
m6gd.large,8 GiB,2,1 x 118 NVMe SSD,Up to 10 Gigabit,0.0904,65.99199999999999,NA
m6a.large,8 GiB,2,EBS only,Up to 12500 Megabit,0.0864,63.072,NA
m5a.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.172,125.55999999999999,NA
m6i.4xlarge,64 GiB,16,EBS only,Up to 12500 Megabit,0.768,560.64,NA
m6g.12xlarge,192 GiB,48,EBS only,12 Gigabit,1.848,1349.04,NA
m5d.8xlarge,128 GiB,32,2 x 600 NVMe SSD,10 Gigabit,1.808,1319.8400000000001,NA
m6id.16xlarge,256 GiB,64,2 x 1900 SSD,25000 Megabit,3.7968,2771.664,NA
m6id.2xlarge,32 GiB,8,1 x 474 SSD,Up to 12500 Megabit,0.4746,346.458,NA
m5zn.xlarge,16 GiB,4,EBS only,Up to 25 Gigabit,0.3303,241.119,NA
m6a.2xlarge,32 GiB,8,EBS only,Up to 12500 Megabit,0.3456,252.288,NA
m6id.8xlarge,128 GiB,32,1 x 1900 SSD,12500 Megabit,1.8984,1385.832,NA
m5n.xlarge,16 GiB,4,EBS only,Up to 25 Gigabit,0.238,173.73999999999998,NA
m6g.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.154,112.42,NA
m6gd.2xlarge,32 GiB,8,1 x 475 NVMe SSD,Up to 10 Gigabit,0.3616,263.96799999999996,NA
m5d.metal,384 GiB,96,4 x 900 NVMe SSD,25 Gigabit,5.424,3959.5200000000004,NA
m5ad.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 10 Gigabit,0.412,300.76,NA
m6a.24xlarge,384 GiB,96,EBS only,37500 Megabit,4.1472,3027.4559999999997,NA
m5a.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.344,251.11999999999998,NA
m5dn.16xlarge,256 GiB,64,4 x 600 NVMe SSD,75 Gigabit,4.352,3176.96,NA
m5.8xlarge,128 GiB,32,EBS only,10 Gigabit,1.536,1121.28,NA
m6a.metal,768 GiB,192,EBS only,50000 Megabit,8.2944,6054.911999999999,NA
m5dn.large,8 GiB,2,1 x 75 NVMe SSD,Up to 25 Gigabit,0.136,99.28,NA
m5n.8xlarge,128 GiB,32,EBS only,25 Gigabit,1.904,1389.9199999999998,NA
m5ad.large,8 GiB,2,1 x 75 NVMe SSD,Up to 10 Gigabit,0.103,75.19,NA
m5n.4xlarge,64 GiB,16,EBS only,Up to 25 Gigabit,0.952,694.9599999999999,NA
m6g.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.308,224.84,NA
m6i.metal,512 GiB,128,EBS only,50000 Megabit,6.144,4485.12,NA
m6id.24xlarge,384 GiB,96,4 x 1425 SSD,37500 Megabit,5.6952,4157.496,NA
m5dn.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 25 Gigabit,0.544,397.12,NA
m6gd.medium,4 GiB,1,1 x 59 NVMe SSD,Up to 10 Gigabit,0.0452,32.995999999999995,NA
m6gd.4xlarge,64 GiB,16,1 x 950 NVMe SSD,Up to 10 Gigabit,0.7232,527.9359999999999,NA
m6id.xlarge,16 GiB,4,1 x 237 SSD,Up to 12500 Megabit,0.2373,173.229,NA
m6a.4xlarge,64 GiB,16,EBS only,Up to 12500 Megabit,0.6912,504.576,NA
m5ad.12xlarge,192 GiB,48,2 x 900 NVMe SSD,10 Gigabit,2.472,1804.56,NA
m5d.16xlarge,256 GiB,64,4 x 600 NVMe SSD,20 Gigabit,3.616,2639.6800000000003,NA
m6i.32xlarge,512 GiB,128,EBS only,50000 Megabit,6.144,4485.12,NA
m5.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.384,280.32,NA
m6gd.metal,256 GiB,64,2 x 1900 NVMe SSD,25 Gigabit,2.8928,2111.7439999999997,NA
m5dn.12xlarge,192 GiB,48,2 x 900 GB NVMe SSD,50 Gigabit,3.264,2382.72,NA
m6a.12xlarge,192 GiB,48,EBS only,18750 Megabit,2.0736,1513.7279999999998,NA
m5a.16xlarge,256 GiB,64,EBS only,12 Gigabit,2.752,2008.9599999999998,NA
m6a.48xlarge,768 GiB,192,EBS only,50000 Megabit,8.2944,6054.911999999999,NA
m6a.2xlarge,32 GiB,8,EBS only,Up to 12500 Megabit,0.3852,281.19599999999997,NA
m6id.xlarge,16 GiB,4,1 x 237 SSD,Up to 12500 Megabit,0.2646,193.15800000000002,NA
m5ad.12xlarge,192 GiB,48,2 x 900 NVMe SSD,10 Gigabit,2.76,2014.8,NA
m6id.24xlarge,384 GiB,96,4 x 1425 SSD,37500 Megabit,6.3504,4635.7919999999995,NA
m5.4xlarge,64 GiB,16,EBS only,Up to 10 Gigabit,0.856,624.88,NA
m6i.large,8 GiB,2,EBS only,Up to 12500 Megabit,0.107,78.11,NA
m5n.metal,384 GiB,96,EBS only,100 Gigabit,6.384,4660.320000000001,NA
m6gd.2xlarge,32 GiB,8,1 x 475 NVMe SSD,Up to 10 Gigabit,0.4032,294.336,NA
m5n.xlarge,16 GiB,4,EBS only,Up to 25 Gigabit,0.266,194.18,NA
m5a.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.096,70.08,NA
m5zn.2xlarge,32 GiB,8,EBS only,Up to 25 Gigabit,0.7364,537.572,NA
m5.24xlarge,384 GiB,96,EBS only,25 Gigabit,5.136,3749.28,NA
m5d.12xlarge,192 GiB,48,2 x 900 NVMe SSD,10 Gigabit,3.024,2207.52,NA
m6g.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.344,251.11999999999998,NA
m5n.2xlarge,32 GiB,8,EBS only,Up to 25 Gigabit,0.532,388.36,NA
m5ad.16xlarge,256 GiB,64,4 x 600 NVMe SSD,12 Gigabit,3.68,2686.4,NA
m5d.24xlarge,384 GiB,96,4 x 900 NVMe SSD,25 Gigabit,6.048,4415.04,NA
m5ad.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 10 Gigabit,0.92,671.6,NA
m6id.12xlarge,192 GiB,48,2 x 1425 SSD,18750 Megabit,3.1752,2317.8959999999997,NA
m6i.4xlarge,64 GiB,16,EBS only,Up to 12500 Megabit,0.856,624.88,NA
m6i.32xlarge,512 GiB,128,EBS only,50000 Megabit,6.848,4999.04,NA
m6i.24xlarge,384 GiB,96,EBS only,37500 Megabit,5.136,3749.28,NA
m6gd.medium,4 GiB,1,1 x 59 NVMe SSD,Up to 10 Gigabit,0.0504,36.792,NA
m5zn.12xlarge,192 GiB,48,EBS only,100 Gigabit,4.4184,3225.4320000000002,NA
m6id.large,8 GiB,2,1 x 118 SSD,Up to 12500 Megabit,0.1323,96.57900000000001,NA
m5.16xlarge,256 GiB,64,EBS only,20 Gigabit,3.424,2499.52,NA
m5n.8xlarge,128 GiB,32,EBS only,25 Gigabit,2.128,1553.44,NA
m5.12xlarge,192 GiB,48,EBS only,10 Gigabit,2.568,1874.64,NA
m5n.4xlarge,64 GiB,16,EBS only,Up to 25 Gigabit,1.064,776.72,NA
m5d.16xlarge,256 GiB,64,4 x 600 NVMe SSD,20 Gigabit,4.032,2943.36,NA
m6g.16xlarge,256 GiB,64,EBS only,25 Gigabit,2.752,2008.9599999999998,NA
m5a.16xlarge,256 GiB,64,EBS only,12 Gigabit,3.072,2242.56,NA
m5zn.xlarge,16 GiB,4,EBS only,Up to 25 Gigabit,0.3682,268.786,NA
m5dn.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 25 Gigabit,0.304,221.92,NA
m6gd.16xlarge,256 GiB,64,2 x 1900 NVMe SSD,25 Gigabit,3.2256,2354.688,NA
m6a.32xlarge,512 GiB,128,EBS only,50000 Megabit,6.1632,4499.1359999999995,NA
m6a.large,8 GiB,2,EBS only,Up to 12500 Megabit,0.0963,70.29899999999999,NA
m5dn.metal,384 GiB,96,4 x 900 NVMe SSD,100 Gigabit,7.296,5326.08,NA
m5n.16xlarge,256 GiB,64,EBS only,75 Gigabit,4.256,3106.88,NA
m6g.4xlarge,64 GiB,16,EBS only,Up to 10 Gigabit,0.688,502.23999999999995,NA
m5a.8xlarge,128 GiB,32,EBS only,Up to 10 Gigabit,1.536,1121.28,NA
m6gd.12xlarge,192 GiB,48,2 x 1425 NVMe SSD,20 Gigabit,2.4192,1766.016,NA
m6i.8xlarge,128 GiB,32,EBS only,12500 Megabit,1.712,1249.76,NA
m5dn.16xlarge,256 GiB,64,4 x 600 NVMe SSD,75 Gigabit,4.864,3550.72,NA
m5dn.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 25 Gigabit,1.216,887.68,NA
m6g.12xlarge,192 GiB,48,EBS only,12 Gigabit,2.064,1506.72,NA
m5.8xlarge,128 GiB,32,EBS only,10 Gigabit,1.712,1249.76,NA
m5.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.214,156.22,NA
m5a.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.384,280.32,NA
m5zn.6xlarge,96 GiB,24,EBS only,50 Gigabit,2.2092,1612.7160000000001,NA
m6g.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.086,62.779999999999994,NA
m6a.24xlarge,384 GiB,96,EBS only,37500 Megabit,4.6224,3374.352,NA
m6a.4xlarge,64 GiB,16,EBS only,Up to 12500 Megabit,0.7704,562.3919999999999,NA
m6g.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.172,125.55999999999999,NA
m5.metal,384 GiB,96,EBS only,25 Gigabit,5.136,3749.28,NA
m6gd.metal,256 GiB,64,2 x 1900 NVMe SSD,25 Gigabit,3.2256,2354.688,NA
m5ad.large,8 GiB,2,1 x 75 NVMe SSD,Up to 10 Gigabit,0.115,83.95,NA
m5dn.large,8 GiB,2,1 x 75 NVMe SSD,Up to 25 Gigabit,0.152,110.96,NA
m6gd.8xlarge,128 GiB,32,1 x 1900 NVMe SSD,10 Gigabit,1.6128,1177.344,NA
m6a.8xlarge,128 GiB,32,EBS only,12500 Megabit,1.5408,1124.7839999999999,NA
m5dn.12xlarge,192 GiB,48,2 x 900 GB NVMe SSD,50 Gigabit,3.648,2663.04,NA
m6i.16xlarge,256 GiB,64,EBS only,25000 Megabit,3.424,2499.52,NA
m5zn.large,8 GiB,2,EBS only,Up to 25 Gigabit,0.1841,134.393,NA
m6g.medium,4 GiB,1,EBS only,Up to 10 Gigabit,0.043,31.389999999999997,NA
m6g.8xlarge,128 GiB,32,EBS only,10 Gigabit,1.376,1004.4799999999999,NA
m6id.4xlarge,64 GiB,16,1 x 950 SSD,Up to 12500 Megabit,1.0584,772.6320000000001,NA
m6gd.large,8 GiB,2,1 x 118 NVMe SSD,Up to 10 Gigabit,0.1008,73.584,NA
m6id.metal,512 GiB,128,4 x 1900 SSD,50000 Megabit,8.4672,6181.0560000000005,NA
m5dn.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 25 Gigabit,0.608,443.84,NA
m5.2xlarge,32 GiB,8,EBS only,Up to 10 Gigabit,0.428,312.44,NA
m6a.12xlarge,192 GiB,48,EBS only,18750 Megabit,2.3112,1687.176,NA
m6gd.xlarge,16 GiB,4,1 x 237 NVMe SSD,Up to 10 Gigabit,0.2016,147.168,NA
m5ad.24xlarge,384 GiB,96,4 x 900 NVMe SSD,20 Gigabit,5.52,4029.6,NA
m5d.large,8 GiB,2,1 x 75 NVMe SSD,Up to 10 Gigabit,0.126,91.98,NA
m6id.2xlarge,32 GiB,8,1 x 474 SSD,Up to 12500 Megabit,0.5292,386.31600000000003,NA
m5ad.8xlarge,128 GiB,32,2 x 600 NVMe SSD,Up to 10 Gigabit,1.84,1343.2,NA
m6a.16xlarge,256 GiB,64,EBS only,25000 Megabit,3.0816,2249.5679999999998,NA
m5dn.24xlarge,384 GiB,96,4 x 900 NVMe SSD,100 Gigabit,7.296,5326.08,NA
m5d.4xlarge,64 GiB,16,2 x 300 NVMe SSD,Up to 10 Gigabit,1.008,735.84,NA
m5ad.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 10 Gigabit,0.23,167.9,NA
m6i.metal,512 GiB,128,EBS only,50000 Megabit,6.848,4999.04,NA
m5d.metal,384 GiB,96,4 x 900 NVMe SSD,25 Gigabit,6.048,4415.04,NA
m5d.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 10 Gigabit,0.504,367.92,NA
m6id.32xlarge,512 GiB,128,4 x 1900 SSD,50000 Megabit,8.4672,6181.0560000000005,NA
m5a.xlarge,16 GiB,4,EBS only,Up to 10 Gigabit,0.192,140.16,NA
m6i.12xlarge,192 GiB,48,EBS only,18750 Megabit,2.568,1874.64,NA
m6a.metal,768 GiB,192,EBS only,50000 Megabit,9.2448,6748.704,NA
m5dn.8xlarge,128 GiB,32,2 x 600 NVMe SSD,25 Gigabit,2.432,1775.36,NA
m6i.xlarge,16 GiB,4,EBS only,Up to 12500 Megabit,0.214,156.22,NA
m6g.metal,256 GiB,64,EBS only,25 Gigabit,2.752,2008.9599999999998,NA
m5n.12xlarge,192 GiB,48,EBS only,50 Gigabit,3.192,2330.1600000000003,NA
m6a.48xlarge,768 GiB,192,EBS only,50000 Megabit,9.2448,6748.704,NA
m5d.8xlarge,128 GiB,32,2 x 600 NVMe SSD,10 Gigabit,2.016,1471.68,NA
m5d.xlarge,16 GiB,4,1 x 150 NVMe SSD,Up to 10 Gigabit,0.252,183.96,NA
m5zn.metal,192 GiB,48,EBS only,100 Gigabit,4.4184,3225.4320000000002,NA
m5.large,8 GiB,2,EBS only,Up to 10 Gigabit,0.107,78.11,NA
m6i.2xlarge,32 GiB,8,EBS only,Up to 12500 Megabit,0.428,312.44,NA
m5a.24xlarge,384 GiB,96,EBS only,20 Gigabit,4.608,3363.8399999999997,NA
m5zn.3xlarge,48 GiB,12,EBS only,Up to 25 Gigabit,1.1046,806.3580000000001,NA
m6a.xlarge,16 GiB,4,EBS only,Up to 12500 Megabit,0.1926,140.59799999999998,NA
m6gd.4xlarge,64 GiB,16,1 x 950 NVMe SSD,Up to 10 Gigabit,0.8064,588.672,NA
m5n.24xlarge,384 GiB,96,EBS only,100 Gigabit,6.384,4660.320000000001,NA
m5ad.2xlarge,32 GiB,8,1 x 300 NVMe SSD,Up to 10 Gigabit,0.46,335.8,NA
