src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.247,2024-05-07T23:01:01.346692+0200,53,3440,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:01.348949+0200,53,2898,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:01.350065+0200,53,2901,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:01.394828+0200,53,1107,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:01.396064+0200,53,2900,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:01.877646+0200,53,2530,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:01.878908+0200,53,2531,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:01.880108+0200,53,2532,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:01.895826+0200,53,2533,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:01.899542+0200,53,3476,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.027878+0200,53,2898,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.027912+0200,53,3429,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.031921+0200,53,3440,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.061983+0200,53,1028,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:02.279968+0200,53,1130,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:02.303644+0200,53,3659,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.710612+0200,53,2900,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.715403+0200,53,2901,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.716574+0200,53,3429,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:02.717721+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:02.861964+0200,53,2530,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:02.958611+0200,53,3659,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:02.978539+0200,53,1130,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:02.982138+0200,53,3663,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:02.995592+0200,53,1078,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:02.997922+0200,53,3385,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:03.000460+0200,53,3661,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:03.009724+0200,53,1025,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.031585+0200,53,2576,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.031608+0200,53,4904,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.237412+0200,53,1447,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.256705+0200,53,3975,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.259231+0200,53,2565,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.280760+0200,53,3985,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:03.466186+0200,53,3440,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:03.466084+0200,53,3369,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:03.492530+0200,53,3662,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:03.492557+0200,53,3663,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:03.492255+0200,53,3660,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:03.492200+0200,53,3294,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:03.496962+0200,53,1107,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:03.510641+0200,53,3294,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:03.532311+0200,53,1028,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:03.582480+0200,53,1703,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:03.601598+0200,53,1109,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:03.606175+0200,53,2530,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:03.609510+0200,53,1028,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:03.727718+0200,53,3656,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.741357+0200,53,2567,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.742501+0200,53,2576,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:03.748351+0200,53,3658,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:03.748359+0200,53,3662,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.765944+0200,53,3384,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:03.771909+0200,53,1028,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.981947+0200,53,4006,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:03.983175+0200,53,1139,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:04.002822+0200,53,2566,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:04.026675+0200,53,2565,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:04.122643+0200,53,1129,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:04.152212+0200,53,3662,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:04.233006+0200,53,3668,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:04.255145+0200,53,3666,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:04.259953+0200,53,3440,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:04.261181+0200,53,3664,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:04.275670+0200,53,3661,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:04.275637+0200,53,1031,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:04.275940+0200,53,3673,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:04.280162+0200,53,3663,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:04.283877+0200,53,2899,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:04.303745+0200,53,3660,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:04.307310+0200,53,4508,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:04.311790+0200,53,3429,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:04.327807+0200,53,3662,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:04.355350+0200,53,4510,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:04.431577+0200,53,3488,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.527301+0200,53,1130,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.528496+0200,53,3659,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.529686+0200,53,3658,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.546860+0200,53,3661,UDP
200.51.43.5,192.168.1.236,2024-05-07T23:01:04.564625+0200,53,4904,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.572460+0200,53,3663,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:04.572486+0200,53,1025,UDP
